"id","Name","City","Country","IATA","Latitude","Longitude"
"3262","Boone County Airport","Harrison","United States","HRO","36.26150131","-93.15470123"
"10137","Urrao Airport","","Colombia","URR","6.32883","-76.1425"
"10348","Kyauktu Airport","Kyaukhtu","Myanmar (Burma)","KYT","21.39999962","94.13330078"
"231","Touat Cheikh Sidi Mohamed Belkebir Airport","Adrar","Algeria","AZR","27.83760071","-0.186414003"
"10046","Espinosa Airport","","Brazil","ESI","-14.93369444","-42.81"
"9694","Nephi Municipal Airport","Nephi","United States","NPH","39.73880005","-111.8720016"
"3556","Palmdale Regional/USAF Plant 42 Airport","Palmdale","United States","PMD","34.62939835","-118.0849991"
"631","Bardufoss Airport","Bardufoss","Norway","BDU","69.05580139","18.54039955"
"1476","Sigonella Navy Air Base","Sigonella","Italy","NSY","37.401699","14.9224"
"2724","Tumeremo Airport","Tumeremo","Venezuela","TMO","7.24938","-61.52893"
"7254","Corowa Airport","","Australia","CWW","-35.99470139","146.3569946"
"9263","Council Airport","Council","United States","CIL","64.89790344","-163.7030029"
"9828","San Isidro del General Airport","San Isidro De El General","Costa Rica","IPZ","9.35262","-83.713097"
"7409","Ulanqab Jining Airport","Wulanchabu","China","UCB","41.129722","113.108056"
"5609","Qurghonteppa International Airport","Kurgan Tyube","Tajikistan","KQT","37.86640167","68.86470032"
"5649","Lintsang Airfield","Lincang","China","LNJ","23.73810005","100.0250015"
"3028","Tan Son Nhat International Airport","Ho Chi Minh City","Vietnam","SGN","10.81879997","106.6520004"
"8218","Aappilattoq Nanortalik Heliport","Aappilattoq","Greenland","QUV","60.1519","-44.2881"
"2243","Hachinohe Airport","Hachinoe","Japan","HHE","40.5564003","141.4660034"
"8036","MERCEDES","","Brazil","MDX","-29.2261","-53.0844"
"95","Matagami Airport","Matagami","Canada","YNM","49.76169968","-77.80280304"
"1381","Quimper-Cornouaille Airport","Quimper","France","UIP","47.97499847","-4.167789936"
"220","Cheikh Larbi Tébessi Airport","Tebessa","Algeria","TEE","35.43159866","8.12071991"
"8372","ALBEMARLE / STANLEY COUNTY","Badin","United States","VUJ","35.4167","-80.1508"
"8842","Dathina Airport","Al Qaws","Yemen","DAH","13.866884","46.133473"
"4659","Sanga Sanga Airport","Sanga Sanga","Philippines","TWT","5.046991","119.742996"
"7298","Rajiv Gandhi International Airport","Hyderabad","India","HYD","17.23131752","78.42985535"
"5177","Taree Airport","Taree","Australia","TRO","-31.8885994","152.5140076"
"9792","Jicalapa Airport","Jicalapa","Honduras","GUO","15.006111","-86.049164"
"5106","Mekoryuk Airport","Mekoryuk","United States","MYU","60.37139893","-166.2709961"
"3216","Hilo International Airport","Hilo","United States","ITO","19.72139931","-155.0480042"
"977","Faya Largeau Airport","Faya-largeau","Chad","FYT","17.91710091","19.11109924"
"3495","Dyess Air Force Base","Abilene","United States","DYS","32.42079926","-99.854599"
"2650","Comandante FAP German Arias Graziani Airport","Anta","Peru","ATA","-9.347439766","-77.5983963"
"9824","Flamingo Airport","Brasilito","Costa Rica","FMG","10.41860008","-85.78269958"
"2125","Panjgur Airport","Panjgur","Pakistan","PJG","26.9545002","64.13249969"
"258","Akure Airport","Akure","Nigeria","AKR","7.246739864","5.301010132"
"9077","Kinkungwa Airport","Kinkungwa","Democratic Republic Of The Congo","KLY","-2.578000069","26.73399925"
"9735","Les Sables-d'Olonne Talmont Airport","Les Sables-D'Olonne","France","LSO","46.47689819","-1.722779989"
"2236","Tokushima Airport/JMSDF Air Base","Tokushima","Japan","TKS","34.132801","134.606995"
"4848","Long Lellang Airport","Long Datih","Malaysia","LGL","3.421000004","115.1539993"
"6173","Grabtsevo Airport","Kaluga","Russia","KLF","54.54999924","36.3666687"
"1591","Pico Airport","Pico","Portugal","PIX","38.554298","-28.441299"
"249","Takoradi Airport","Takoradi","Ghana","TKD","4.89605999","-1.774760008"
"4807","Lokpriya Gopinath Bordoloi International Airport","Guwahati","India","GAU","26.10610008","91.58589935"
"976","N'Djamena International Airport","N'djamena","Chad","NDJ","12.1337","15.034"
"3829","General Wayne A. Downing Peoria International Airport","Peoria","United States","PIA","40.66419983","-89.69329834"
"10502","Eva Downs Airport","","","EVD","-18.00099945","134.8630066"
"9239","Pakyong Airport","Pakyong","India","PYG","27.2313","88.587196"
"2066","Shahroud Airport","Emam Shahr","Iran","RUD","36.4253006","55.10419846"
"360","Lübeck Blankensee Airport","Luebeck","Germany","LBC","53.80540085","10.71920013"
"1336","Abbeville","Abbeville","France","XAB","50.143501","1.831891"
"7990","Thorne Bay","Thorne Bay","United States","KTB","55.688","-132.5367"
"10631","Shay Gap Airport","","","SGP","-20.42469978","120.1409988"
"629","Kristiansand Airport","Kristiansand","Norway","KRS","58.204201","8.08537"
"7182","Juan Simons Vela Airport","Rioja","Peru","RIJ","-6.067860126","-77.16000366"
"6699","Richmond Airport","Richmond","Australia","RCM","-20.70190048","143.1150055"
"4870","Barcaldine Airport","Barcaldine","Australia","BCI","-23.56529999","145.3070068"
"8125","PARNAIBA/PREF DR JOAO S. FILHO","","Brazil","PBB","-2.8939","-41.7325"
"4295","Værøy Heliport","Værøy","Norway","VRY","67.654555","12.727257"
"1771","Xoxocotlán International Airport","Oaxaca","Mexico","OAX","16.99990082","-96.72660065"
"4043","Cheddi Jagan International Airport","Georgetown","Guyana","GEO","6.498549938","-58.2541008"
"3766","Ta'izz International Airport","Taiz","Yemen","TAI","13.68599987","44.13909912"
"8302","TSHABONG","Tshabong","Botswana","TBY","-26.0667","22.4667"
"2030","Omidiyeh Airport","Omidyeh","Iran","OMI","30.83519936","49.53490067"
"1529","Portoroz Airport","Portoroz","Slovenia","POW","45.47340012","13.61499977"
"6870","Banning Municipal Airport","Banning","United States","BNG","33.92309952","-116.8509979"
"9982","Anguganak Airport","Yemnu","Papua New Guinea","AKG","-3.560504","142.217307"
"5364","Orcas Island Airport","Eastsound","United States","ESD","48.70819855","-122.9100037"
"4205","Quaqtaq Airport","Quaqtaq","Canada","YQC","61.04639816","-69.61779785"
"5224","Montrose Regional Airport","Montrose CO","United States","MTJ","38.50979996","-107.8939972"
"8375","CASTRO/GAMBOA","Castro","Chile","WCA","-42.485","-73.7722"
"5216","Reykjahlíð Airport","Myvatn","Iceland","MVA","65.65579987","-16.91810036"
"3272","Acadiana Regional Airport","Louisiana","United States","ARA","30.0378","-91.883904"
"8556","Candle 2 Airport","Candle","United States","CDL","65.90769959","-161.9259949"
"5863","Cooinda Airport","Cooinda","Australia","CDA","-12.90330029","132.5319977"
"2424","Eduardo Gomes International Airport","Manaus","Brazil","MAO","-3.038609982","-60.04970169"
"10423","Vinh Long Airfield","","Vietnam","XVL","10.2509","105.9445"
"9136","Agostinho Neto Airport","Ponta Do Sol","Cape Verde","NTO","17.20280075","-25.09059906"
