"id","Name","City","Country","IATA","Latitude","Longitude"
"5335","Xi'an Xiguan Airport","Xi\'AN","China","SIA","34.376701","109.120003"
"3190","Hangzhou Xiaoshan International Airport","Hangzhou","China","HGH","30.22949982","120.4339981"
"5436","False Pass Airport","False Pass","United States","KFP","54.84740067","-163.4100037"
"4963","Victoria River Downs Airport","Victoria River Downs","Australia","VCD","-16.4021244","131.0049744"
"1440","Samos Airport","Samos","Greece","SMI","37.68999863","26.9116993"
"3075","Bintulu Airport","Bintulu","Malaysia","BTU","3.123850107","113.0199966"
"67","Ulukhaktok Holman Airport","Holman Island","Canada","YHI","70.76280212","-117.8059998"
"10586","Muttaburra Airport","Muttaburra","Australia","UTB","-22.58329964","144.5330048"
"7698","ARAPOTI","","Brazil","AAG","-24.1036","-49.79"
"9570","Montgomery-Gibbs Executive Airport","San Diego","United States","MYF","32.8157","-117.139999"
"4833","Mawlamyine Airport","Mawlamyine","Burma","MNU","16.44470024","97.66069794"
"4910","King Island Airport","King Island","Australia","KNS","-39.87749863","143.878006"
"1075","Faranah Airport","Faranah","Guinea","FAA","10.03549957","-10.76980019"
"9595","Ocean City Municipal Airport","West Ocean City","United States","OCE","38.3103981","-75.12400055"
"8023","  Qala I Naw","Qala-E-Naw","Afghanistan","LQN","34.9875","63.1183"
"8344","DARLINGTON COUNTY JETPORT","Society Hill","United States","UDG","34.4492","-79.8904"
"139","Thompson Airport","Thompson","Canada","YTH","55.80110168","-97.86419678"
"5020","Weifang Airport","Weifang","China","WEF","36.646702","119.119003"
"5809","Rocky Mountain Metropolitan Airport","Broomfield-CO","United States","BJC","39.90879822","-105.1169968"
"4994","Ankang Wulipu Airport","Ankang","China","AKA","32.708099","108.931"
"81","Buttonville Municipal Airport","Toronto","Canada","YKZ","43.86220169","-79.37000275"
"8605","Shaw River Airport","","","SWB","-21.51029968","119.3619995"
"10463","Chillagoe Airport","Chillagoe","Australia","LLG","-17.14279938","144.529007"
"2081","Iran Shahr Airport","Iran Shahr","Iran","IHR","27.23609924","60.72000122"
"1964","Tauranga Airport","Tauranga","New Zealand","TRG","-37.6719017","176.1959991"
"1205","Salamanca Airport","Salamanca","Spain","SLM","40.95209885","-5.501989841"
"548","Oxford (Kidlington) Airport","Oxford","United Kingdom","OXF","51.8368988","-1.320000052"
"4812","Bharatpur Airport","Bharatpur","Nepal","BHR","27.678101","84.429398"
"7910","Illorsuit                               ","Illorsuit","Greenland","IOT","71.2417","-53.5667"
"4115","Shun Tak Heliport","Hong Kong","Hong Kong","HHP","22.28937149","114.152153"
"5642","Kherson International Airport","Kherson","Ukraine","KHE","46.6758","32.506401"
"5264","Drake Bay Airport","Puntarenas","Costa Rica","DRK","8.71889019","-83.64170074"
"2777","Provideniya Bay Airport","Provideniya Bay","Russia","PVS","64.37809753","-173.2429962"
"1761","Licenciado Manuel Crescencio Rejon Int Airport","Merida","Mexico","MID","20.93700027","-89.65769959"
"3112","Kuala Lumpur International Airport","Kuala Lumpur","Malaysia","KUL","2.745579958","101.7099991"
"4382","Galcaio Airport","Galcaio","Somalia","GLK","6.780829906","47.45470047"
"8785","Taltheilei Narrows Airport","","","GSL","62.59809875","-111.5429993"
"9846","Long Lama Airport","Long Lama","Malaysia","LLM","3.766669989","114.4666672"
"9617","New River Valley Airport","Dublin","United States","PSK","37.13729858","-80.67849731"
"10614","Parndana Airport","Seddon","Australia","PDN","-35.807","137.264"
"3613","Eareckson Air Station","Shemya","United States","SYA","52.71229935","174.1139984"
"3535","Majors Airport","Greenvile","United States","GVT","33.06779861","-96.06529999"
"6620","Plínio Alarcom Airport","Tres Lagoas","Brazil","TJL","-20.75419998","-51.68420029"
