,Name,City,Country,IATA,Latitude,Longitude
0,Goroka Airport,Goroka,Papua New Guinea,GKA,-6.0816898345900015,145.391998291
1,Madang Airport,Madang,Papua New Guinea,MAG,-5.20707988739,145.789001465
2,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,-5.826789855957031,144.29600524902344
3,Nadzab Airport,Nadzab,Papua New Guinea,LAE,-6.569803,146.725977
4,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,-9.443380355834961,147.22000122070312
5,Wewak International Airport,Wewak,Papua New Guinea,WWK,-3.5838301181800003,143.66900634799998
6,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,61.1604995728,-45.4259986877
7,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,64.19090271,-51.67810058590001
8,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,67.0122218992,-50.7116031647
9,Thule Air Base,Thule,Greenland,THU,76.5311965942,-68.70320129390001
10,Akureyri Airport,Akureyri,Iceland,AEY,65.66000366210939,-18.07270050048828
11,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,65.28330230712889,-14.401399612426758
12,Hornafjörður Airport,Hofn,Iceland,HFN,64.295601,-15.2272
13,Húsavík Airport,Husavik,Iceland,HZK,65.952301,-17.426001
14,Ísafjörður Airport,Isafjordur,Iceland,IFJ,66.05809783935547,-23.13529968261719
15,Keflavik International Airport,Keflavik,Iceland,KEF,63.985000610352,-22.605600357055998
16,Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,65.555801,-23.965
17,Reykjavik Airport,Reykjavik,Iceland,RKV,64.1299972534,-21.9405994415
18,Siglufjörður Airport,Siglufjordur,Iceland,SIJ,66.133301,-18.9167
19,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,63.42430114746094,-20.27890014648437
20,Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,46.48500061035156,-84.5093994140625
23,St. Anthony Airport,St. Anthony,Canada,YAY,51.391899108900006,-56.083099365200006
24,Tofino / Long Beach Airport,Tofino,Canada,YAZ,49.079833,-125.775583
25,Kugaaruk Airport,Pelly Bay,Canada,YBB,68.534401,-89.808098
26,Baie Comeau Airport,Baie Comeau,Canada,YBC,49.13249969482422,-68.20439910888672
27,CFB Bagotville,Bagotville,Canada,YBG,48.33060073852539,-70.99639892578125
28,Baker Lake Airport,Baker Lake,Canada,YBK,64.29889678960001,-96.077796936
29,Campbell River Airport,Campbell River,Canada,YBL,49.95080184936523,-125.27100372314452
30,Brandon Municipal Airport,Brandon,Canada,YBR,49.91,-99.951897
31,Cambridge Bay Airport,Cambridge Bay,Canada,YCB,69.1081008911,-105.13800048799999
32,Nanaimo Airport,Nanaimo,Canada,YCD,49.054970224899996,-123.869862556
33,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,49.296398162799996,-117.63200378399999
34,Miramichi Airport,Chatham,Canada,YCH,47.007801,-65.449203
35,Charlo Airport,Charlo,Canada,YCL,47.990799,-66.330299
36,Kugluktuk Airport,Coppermine,Canada,YCO,67.816704,-115.143997
37,Coronation Airport,Coronation,Canada,YCT,52.0750007629,-111.444999695
38,Chilliwack Airport,Chilliwack,Canada,YCW,49.1528015137,-121.93900299100001
39,Clyde River Airport,Clyde River,Canada,YCY,70.4860992432,-68.5167007446
40,Coral Harbour Airport,Coral Harbour,Canada,YZS,64.1932983398,-83.3593978882
41,Dawson City Airport,Dawson,Canada,YDA,64.04309844970703,-139.12800598144528
42,Burwash Airport,Burwash,Canada,YDB,61.37110137939453,-139.04100036621094
44,Deer Lake Airport,Deer Lake,Canada,YDF,49.21080017089844,-57.39139938354492
45,Dease Lake Airport,Dease Lake,Canada,YDL,58.4221992493,-130.031997681
46,Dauphin Barker Airport,Dauphin,Canada,YDN,51.10079956054688,-100.052001953125
47,Dawson Creek Airport,Dawson Creek,Canada,YDQ,55.7422981262207,-120.18299865722656
48,Edmonton International Airport,Edmonton,Canada,YEG,53.309700012200004,-113.580001831
49,Arviat Airport,Eskimo Point,Canada,YEK,61.0942001343,-94.0708007812
50,Estevan Airport,Estevan,Canada,YEN,49.210300445600005,-102.96600341799999
51,Edson Airport,Edson,Canada,YET,53.5788993835,-116.46499633799999
52,Eureka Airport,Eureka,Canada,YEU,79.9946975708,-85.814201355
53,Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,68.30419921880001,-133.483001709
54,Iqaluit Airport,Iqaluit,Canada,YFB,63.756402,-68.555801
55,Fredericton Airport,Fredericton,Canada,YFC,45.86890029907226,-66.53720092773439
56,Forestville Airport,Forestville,Canada,YFE,48.74610137939453,-69.09719848632811
57,Flin Flon Airport,Flin Flon,Canada,YFO,54.6781005859375,-101.68199920654295
58,Fort Resolution Airport,Fort Resolution,Canada,YFR,61.1808013916,-113.690002441
59,Fort Simpson Airport,Fort Simpson,Canada,YFS,61.76020050048828,-121.23699951171876
60,Kingston Norman Rogers Airport,Kingston,Canada,YGK,44.22529983520508,-76.5969009399414
61,La Grande Rivière Airport,La Grande Riviere,Canada,YGL,53.62530136108398,-77.7042007446289
62,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,48.775299072299994,-64.4785995483
63,Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,49.77830123901367,-86.93939971923828
64,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,47.42470169067383,-61.778099060058594
65,Hudson Bay Airport,Hudson Bay,Canada,YHB,52.8166999817,-102.31099700899999
66,Dryden Regional Airport,Dryden,Canada,YHD,49.831699,-92.744202
67,Ulukhaktok Holman Airport,Holman Island,Canada,YHI,70.76280212402344,-117.80599975585938
68,Gjoa Haven Airport,Gjoa Haven,Canada,YHK,68.635597229,-95.8497009277
69,John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,43.173599243199995,-79.93499755859999
70,Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,45.5175018311,-73.4169006348
71,Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,60.8396987915,-115.782997131
72,Halifax / Stanfield International Airport,Halifax,Canada,YHZ,44.880798339799995,-63.50859832760001
73,Atikokan Municipal Airport,Atikokan,Canada,YIB,48.7738990784,-91.6386032104
74,Pond Inlet Airport,Pond Inlet,Canada,YIO,72.6832962036,-77.9666976929
75,St Jean Airport,St. Jean,Canada,YJN,45.29439926147461,-73.28109741210938
76,Stephenville Airport,Stephenville,Canada,YJT,48.5442008972168,-58.54999923706055
77,Kamloops Airport,Kamloops,Canada,YKA,50.702201843299996,-120.444000244
78,Waterloo Airport,Waterloo,Canada,YKF,43.4608001709,-80.3786010742
79,Schefferville Airport,Schefferville,Canada,YKL,54.80530166625977,-66.8052978515625
80,Kindersley Airport,Kindersley,Canada,YKY,51.5175018311,-109.180999756
81,Buttonville Municipal Airport,Toronto,Canada,YKZ,43.86220169067383,-79.37000274658203
82,Chapleau Airport,Chapleau,Canada,YLD,47.81999969482422,-83.3467025756836
83,Meadow Lake Airport,Meadow Lake,Canada,YLJ,54.12530136108398,-108.52300262451172
84,Lloydminster Airport,Lloydminster,Canada,YLL,53.30920028686523,-110.072998046875
85,Alert Airport,Alert,Canada,YLT,82.51779937740001,-62.280601501499994
86,Kelowna International Airport,Kelowna,Canada,YLW,49.9561004639,-119.377998352
87,Mayo Airport,Mayo,Canada,YMA,63.61640167236328,-135.86799621582028
