"Airline","Departure","Destination","distance_km"
"AT","MRS","CMN","1577.73"
"UA","ONT","DEN","1315.73"
"9H","TEN","XMN","954.578"
"US","DFW","ABI","253.332"
"DP","LED","NBC","1372.886"
"IW","LOP","LBJ","398.27"
"GX","NNG","WDS","1142.218"
"CA","HGH","INC","1607.844"
"AF","SXB","MRS","596.615"
"UA","BOS","DEN","2815.731"
"CA","HGH","CGQ","1599.128"
"FG","KDH","DXB","1238.019"
"LA","MAO","LIM","2127.994"
"ZK","CDR","DEN","356.139"
"TS","YQB","CDG","5292.109"
"HZ","UUS","KXK","577.418"
"HU","JNZ","HGH","1210.22"
"AT","IST","CMN","3305.374"
"EY","MRS","CDG","652.819"
"3O","CMN","SAW","3349.831"
"IB","MAD","LIS","512.884"
"S4","LIS","MAD","512.884"
"MF","YIH","XMN","935.794"
"LA","LIM","AQP","765.517"
"8Q","IST","AYT","517.731"
"A3","LED","SKG","2202.793"
"MU","XMN","HGH","671.888"
"US","ABI","DFW","253.332"
"IA","ISU","IST","1573.418"
"Y4","MTY","CUN","1448.345"
"KL","HGH","CGQ","1599.128"
"SU","LED","BHK","3250.937"
"TK","IST","BOS","7726.667"
"EP","DXB","BND","240.791"
"9K","ACK","BOS","146.29"
"AA","MAD","DFW","7973.896"
"F9","LAS","DFW","1694.8"
"AA","DFW","PNS","969.87"
"AV","CUN","LIM","3827.571"
"PR","CRK","USU","344.362"
"FL","DEN","SJD","1917.781"
"TS","CUN","YQB","3186.99"
"FR","TSF","PMO","834.183"
"HV","EIN","LIS","1804.458"
"MF","XMN","YIH","935.794"
"TP","CMN","LIS","617.782"
"B6","DXB","DFW","12919.389"
"ZH","XMN","NNG","1036.954"
"UA","CID","DEN","1111.691"
"EP","KHY","THR","639.464"
"WO","CUN","YXU","2503.391"
"UA","CUN","DEN","2689.257"
"KY","NNG","XMN","1036.954"
"U2","OLB","BSL","760.639"
"CA","HGH","XMN","671.888"
"TK","AAL","IST","2216.014"
"AM","CUN","BOS","2796.18"
"G4","LAS","PIA","2268.574"
"4T","BSL","HRG","3216.438"
"SU","IST","LED","2062.521"
