Airline,Departure,Destination,distance_km
2B,AER,KZN,1506.826
DP,AER,KZN,1506.826
2B,ASF,KZN,1040.438
2B,CEK,KZN,770.509
2B,DME,KZN,715.649
S7,DME,KZN,715.649
U6,DME,KZN,715.649
UN,DME,KZN,715.649
2B,EGO,KZN,1008.253
J2,GYD,KZN,1684.288
2B,LED,KZN,1216.845
FV,LED,KZN,1216.845
SU,LED,KZN,1216.845
5N,LED,KZN,1216.845
DP,LED,KZN,1216.845
DP,MRV,KZN,1339.737
S7,OVB,KZN,2092.607
2B,SVX,KZN,723.523
7R,SVX,KZN,723.523
FZ,DWC,KZN,3448.293
HY,FEG,KZN,2360.73
HY,SKD,KZN,2196.999
UR,UFA,KZN,435.511
UT,UFA,KZN,435.511
DP,VKO,KZN,754.019
UT,VKO,KZN,754.019
8Q,AYT,KZN,2501.895
SU,FRA,KZN,2762.146
QS,PRG,KZN,2401.545
SU,SVO,KZN,741.921
EO,SVO,KZN,741.921
N4,SVO,KZN,741.921
DP,TBS,KZN,1581.181
A4,KRR,KZN,1374.113
KC,ALA,KZN,2399.062
SZ,DYU,KZN,2388.871
U6,DYU,KZN,2388.871
YK,FRU,KZN,2276.253
I3,IKA,KZN,2249.575
TK,IST,KZN,2181.877
SZ,LBD,KZN,2272.751
U6,LBD,KZN,2272.751
G9,SHJ,KZN,3404.727
A4,ROV,KZN,1107.886
B2,MSQ,KZN,1371.662
HY,TAS,KZN,2157.778
T5,ASB,KZN,2073.451
KC,TSE,KZN,1551.623
YK,OSS,KZN,2392.262
U6,OSS,KZN,2392.262
7J,AER,DYU,2470.158
S7,CEK,DYU,1942.486
U6,CEK,DYU,1942.486
7J,DME,DYU,2961.54
SZ,DME,DYU,2961.54
SZ,KZN,DYU,2388.871
U6,KZN,DYU,2388.871
7J,LED,DYU,3580.773
SU,LED,DYU,3580.773
SZ,LED,DYU,3580.773
U6,LED,DYU,3580.773
U6,MRV,DYU,2228.239
U6,NBC,DYU,2264.954
7J,OVB,DYU,2103.691
S7,OVB,DYU,2103.691
7J,SVX,DYU,2107.667
SZ,SVX,DYU,2107.667
U6,SVX,DYU,2107.667
R3,IKT,DYU,3124.079
SZ,IKT,DYU,3124.079
7J,URC,DYU,1665.258
CZ,URC,DYU,1665.258
SZ,URC,DYU,1665.258
U6,UFA,DYU,2030.17
UT,VKO,DYU,3006.946
FZ,DXB,DYU,1944.467
SZ,DXB,DYU,1944.467
7J,DEL,DYU,1347.353
RQ,KBL,DYU,443.616
SZ,FRA,DYU,4823.539
SZ,KJA,DYU,2623.448
U6,KJA,DYU,2623.448
Y7,KJA,DYU,2623.448
R3,KRR,DYU,2546.187
SZ,KRR,DYU,2546.187
U6,KRR,DYU,2546.187
7J,ALA,DYU,872.207
KC,ALA,DYU,872.207
SZ,ALA,DYU,872.207
7J,FRU,DYU,691.591
YK,FRU,DYU,691.591
7J,IKA,DYU,1605.163
EP,IKA,DYU,1605.163
7J,IST,DYU,3401.102
SZ,IST,DYU,3401.102
TK,IST,DYU,3401.102
7J,SGC,DYU,2554.88
7J,SHJ,DYU,1928.462
U6,KUF,DYU,2187.249
U6,ROV,DYU,2532.847
U6,VOG,DYU,2259.847
HY,TAS,DYU,304.347
DV,TSE,DYU,1402.925
EP,MHD,DYU,850.557
R2,REN,DYU,1802.076
SZ,REN,DYU,1802.076
IOS,OMS,DYU,1856.968
U6,GOJ,DYU,2694.856
U6,ZIA,DYU,2955.001
9U,AER,KIV,945.534
9U,DME,KIV,1129.799
S7,DME,KIV,1129.799
9U,LED,KIV,1434.018
9U,LCA,KIV,1396.362
FZ,DWC,KIV,3371.806
W6,BCN,KIV,2220.944
W6,FMM,KIV,1406.731
LH,MUC,KIV,1291.499
9U,BLQ,KIV,1391.791
IG,BLQ,KIV,1391.791
W6,TSF,KIV,1291.377
9U,ATH,KIV,1079.722
W6,DTM,KIV,1623.346
9U,DUB,KIV,2579.267
9U,FCO,KIV,1440.542
V3,FCO,KIV,1440.542
9U,FRA,KIV,1534.754
LH,FRA,KIV,1534.754
9U,LIS,KIV,3197.601
9U,MXP,KIV,1554.968
IG,MXP,KIV,1554.968
9U,STN,KIV,2132.793
9U,VCE,KIV,1282.91
V3,VCE,KIV,1282.91
OS,VIE,KIV,936.494
9U,VRN,KIV,1396.82
IG,VRN,KIV,1396.82
LO,WAW,KIV,817.236
SU,SVO,KIV,1163.026
W6,CPH,KIV,1482.021
BT,RIX,KIV,1161.601
9U,IST,KIV,628.683
TK,IST,KIV,628.683
9U,SGC,KIV,3223.324
9U,BVA,KIV,1996.912
W6,BVA,KIV,1996.912
9U,KBP,KIV,406.423
PS,KBP,KIV,406.423
9U,OTP,KIV,342.63
AZ,OTP,KIV,342.63
RO,OTP,KIV,342.63
B2,MSQ,KIV,775.949
W6,CIA,KIV,1414.81
W6,CRL,KIV,1830.06
W6,LTN,KIV,2174.074
B2,AER,MSQ,1449.433
B2,DME,MSQ,657.048
S7,DME,MSQ,657.048
UN,DME,MSQ,657.048
B2,GYD,MSQ,2217.884
B2,KGD,MSQ,494.222
B2,LED,MSQ,671.784
S7,LED,MSQ,671.784
UN,LED,MSQ,671.784
B2,SVX,MSQ,2077.5
B2,GVA,MSQ,1770.49
B2,LCA,MSQ,2158.127
B2,ARN,MSQ,887.717
B2,BCN,MSQ,2375.038
B2,LGW,MSQ,1920.521
LH,MUC,MSQ,1285.59
B2,AMS,MSQ,1556.245
CA,PEK,MSQ,6437.472
B2,TLV,MSQ,2492.367
UT,VKO,MSQ,621.754
B2,BUD,MSQ,945.702
B2,CDG,MSQ,1835.499
B2,FCO,MSQ,1779.08
B2,FRA,MSQ,1395.262
LH,FRA,MSQ,1395.262
B2,HAJ,MSQ,1229.422
AY,HEL,MSQ,738.899
B2,HEL,MSQ,738.899
B2,MXP,MSQ,1654.328
B2,NCE,MSQ,1890.665
B2,PRG,MSQ,1030.201
OK,PRG,MSQ,1030.201
B2,VIE,MSQ,1025.157
OS,VIE,MSQ,1025.157
B2,WAW,MSQ,509.256
LO,WAW,MSQ,509.256
SU,SVO,MSQ,642.403
B2,SXF,MSQ,980.423
B2,TBS,MSQ,1846.391
B2,KRR,MSQ,1268.236
B2,EVN,MSQ,1957.909
B2,RIX,MSQ,424.16
BT,RIX,MSQ,424.16
B2,IKA,MSQ,2724.863
B2,IST,MSQ,1402.883
TK,IST,MSQ,1402.883
B2,KUF,MSQ,1451.93
B2,KBP,MSQ,439.198
PS,KBP,MSQ,439.198
B2,AUH,MSQ,3949.772
EY,AUH,MSQ,3949.772
B2,BUS,MSQ,1694.261
B2,KUT,MSQ,1681.305
B2,VNO,MSQ,196.886
B2,BEY,MSQ,2306.453
HY,TAS,MSQ,3337.988
B2,ASB,MSQ,2900.046
T5,ASB,MSQ,2900.046
B2,TSE,MSQ,2913.933
IA,BGW,MSQ,2624.289
M9,OZH,MSQ,840.928
TK,ISL,MSQ,1436.225
HY,AER,TAS,2409.437
SU,AER,TAS,2409.437
U6,AER,TAS,2409.437
U6,CEK,TAS,1662.234
HY,DME,TAS,2765.622
S7,DME,TAS,2765.622
HY,GYD,TAS,1616.593
J2,GYD,TAS,1616.593
HY,KGD,TAS,3827.628
U6,KGD,TAS,3827.628
HY,KZN,TAS,2157.778
HY,LED,TAS,3364.847
SU,LED,TAS,3364.847
FV,LED,TAS,3364.847
HY,MRV,TAS,2155.417
SU,MRV,TAS,2155.417
HY,OVB,TAS,1816.209
S7,OVB,TAS,1816.209
HY,SVX,TAS,1826.301
U6,SVX,TAS,1826.301
R3,IKT,TAS,2904.066
HY,BKK,TAS,4317.958
HY,KUL,TAS,5369.438
MH,KUL,TAS,5369.438
HY,SIN,TAS,5638.106
MH,SIN,TAS,5638.106
HY,BHK,TAS,437.736
HY,FEG,TAS,230.192
HY,KSQ,TAS,392.949
HY,NMA,TAS,193.01
HY,NVI,TAS,369.009
HY,SKD,TAS,260.264
HY,ICN,TAS,4843.779
KE,ICN,TAS,4843.779
OZ,ICN,TAS,4843.779
CZ,PEK,TAS,3941.672
HY,PEK,TAS,3941.672
CZ,URC,TAS,1515.084
HY,URC,TAS,1515.084
HY,TLV,TAS,3212.26
HY,NCU,TAS,810.812
HY,TJM,TAS,1793.924
HY,UFA,TAS,1778.216
UN,VKO,TAS,2810.834
UT,VKO,TAS,2810.834
HY,DXB,TAS,2194.154
FZ,DXB,TAS,2194.154
HY,DEL,TAS,1579.506
RQ,KBL,TAS,744.141
HY,CDG,TAS,5133.415
HY,FCO,TAS,4658.033
HY,FRA,TAS,4684.413
HY,LHR,TAS,5260.809
OK,PRG,TAS,4283.692
HY,NRT,TAS,6042.463
AZ,SVO,TAS,2817.456
SU,SVO,TAS,2817.456
HY,KJA,TAS,2355.411
U6,KJA,TAS,2355.411
HY,KRR,TAS,2463.966
R3,KRR,TAS,2463.966
U6,KRR,TAS,2463.966
BT,RIX,TAS,3640.759
